Epoch: 10, test/loss: 1.046, test/accu: 0.692, test/mIoU: 0.375, test/intsc_0: 0.000, test/intsc_1: 33646.769, test/intsc_2: 27976.311, test/intsc_3: 1399.394, test/intsc_4: 1313.538, test/intsc_5: 8359.250, test/intsc_6: 1307.135, test/intsc_7: 3108.676, test/intsc_8: 0.000, test/intsc_9: 9.625, test/intsc_10: 1811.397, test/intsc_11: 0.000, test/intsc_12: 115.821, test/intsc_13: 37.538, test/intsc_14: 0.253, test/intsc_15: 0.000, test/intsc_16: 0.000, test/intsc_17: 146.022, test/intsc_18: 0.000, test/intsc_19: 3.923, test/intsc_20: 543.474, test/union_0: 0.000, test/union_1: 53069.458, test/union_2: 30138.077, test/union_3: 6517.353, test/union_4: 4292.208, test/union_5: 14507.074, test/union_6: 4937.978, test/union_7: 7592.670, test/union_8: 5128.817, test/union_9: 4453.356, test/union_10: 4828.221, test/union_11: 664.878, test/union_12: 832.583, test/union_13: 2432.304, test/union_14: 2109.872, test/union_15: 715.571, test/union_16: 507.077, test/union_17: 584.244, test/union_18: 328.490, test/union_19: 310.054, test/union_20: 6277.343, test/mIoU_part: 0.211
Epoch: 20, test/loss: 0.901, test/accu: 0.724, test/mIoU: 0.446, test/intsc_0: 0.000, test/intsc_1: 31246.404, test/intsc_2: 27981.369, test/intsc_3: 1727.045, test/intsc_4: 2072.737, test/intsc_5: 7722.324, test/intsc_6: 1853.401, test/intsc_7: 3337.625, test/intsc_8: 0.308, test/intsc_9: 1734.231, test/intsc_10: 1737.840, test/intsc_11: 0.000, test/intsc_12: 357.327, test/intsc_13: 521.343, test/intsc_14: 765.340, test/intsc_15: 20.904, test/intsc_16: 309.660, test/intsc_17: 208.285, test/intsc_18: 163.122, test/intsc_19: 182.651, test/intsc_20: 914.436, test/union_0: 0.000, test/union_1: 48430.179, test/union_2: 30137.372, test/union_3: 5666.567, test/union_4: 4392.702, test/union_5: 11846.215, test/union_6: 4094.237, test/union_7: 7071.186, test/union_8: 5129.856, test/union_9: 6910.522, test/union_10: 4154.503, test/union_11: 664.878, test/union_12: 992.564, test/union_13: 2862.397, test/union_14: 4069.603, test/union_15: 754.881, test/union_16: 1522.176, test/union_17: 492.798, test/union_18: 733.029, test/union_19: 588.381, test/union_20: 6636.359, test/mIoU_part: 0.333
Epoch: 30, test/loss: 0.742, test/accu: 0.767, test/mIoU: 0.505, test/intsc_0: 0.000, test/intsc_1: 32234.038, test/intsc_2: 28114.740, test/intsc_3: 2262.651, test/intsc_4: 2083.888, test/intsc_5: 8625.375, test/intsc_6: 2149.247, test/intsc_7: 3079.330, test/intsc_8: 316.817, test/intsc_9: 2057.721, test/intsc_10: 2796.122, test/intsc_11: 0.000, test/intsc_12: 387.811, test/intsc_13: 1263.183, test/intsc_14: 1297.744, test/intsc_15: 67.244, test/intsc_16: 262.917, test/intsc_17: 223.881, test/intsc_18: 146.997, test/intsc_19: 190.894, test/intsc_20: 666.218, test/union_0: 0.000, test/union_1: 46457.878, test/union_2: 30089.035, test/union_3: 6038.535, test/union_4: 3782.163, test/union_5: 11867.346, test/union_6: 3972.968, test/union_7: 5705.356, test/union_8: 5574.843, test/union_9: 6293.385, test/union_10: 4862.381, test/union_11: 664.878, test/union_12: 873.532, test/union_13: 4039.490, test/union_14: 3181.288, test/union_15: 783.782, test/union_16: 758.728, test/union_17: 383.679, test/union_18: 408.417, test/union_19: 360.567, test/union_20: 5681.686, test/mIoU_part: 0.425
Epoch: 40, test/loss: 0.678, test/accu: 0.788, test/mIoU: 0.535, test/intsc_0: 0.000, test/intsc_1: 33297.606, test/intsc_2: 28008.522, test/intsc_3: 1875.186, test/intsc_4: 2254.176, test/intsc_5: 8544.099, test/intsc_6: 2210.426, test/intsc_7: 3033.590, test/intsc_8: 530.010, test/intsc_9: 2443.381, test/intsc_10: 2654.785, test/intsc_11: 0.000, test/intsc_12: 389.558, test/intsc_13: 1575.603, test/intsc_14: 1034.619, test/intsc_15: 209.077, test/intsc_16: 155.686, test/intsc_17: 265.913, test/intsc_18: 155.843, test/intsc_19: 204.535, test/intsc_20: 1126.215, test/union_0: 0.000, test/union_1: 47730.894, test/union_2: 29803.510, test/union_3: 5191.423, test/union_4: 3259.651, test/union_5: 11291.548, test/union_6: 3455.901, test/union_7: 5474.881, test/union_8: 5837.593, test/union_9: 6698.619, test/union_10: 4349.558, test/union_11: 664.878, test/union_12: 876.920, test/union_13: 3922.237, test/union_14: 2571.327, test/union_15: 1002.910, test/union_16: 547.728, test/union_17: 406.542, test/union_18: 394.663, test/union_19: 357.032, test/union_20: 6200.112, test/mIoU_part: 0.463
Epoch: 50, test/loss: 0.615, test/accu: 0.803, test/mIoU: 0.566, test/intsc_0: 0.000, test/intsc_1: 31638.667, test/intsc_2: 28015.096, test/intsc_3: 2376.526, test/intsc_4: 2337.548, test/intsc_5: 9245.122, test/intsc_6: 1916.971, test/intsc_7: 3222.064, test/intsc_8: 903.308, test/intsc_9: 2513.942, test/intsc_10: 3301.295, test/intsc_11: 0.000, test/intsc_12: 388.109, test/intsc_13: 1337.343, test/intsc_14: 1461.535, test/intsc_15: 305.426, test/intsc_16: 320.821, test/intsc_17: 309.051, test/intsc_18: 225.965, test/intsc_19: 256.433, test/intsc_20: 1828.154, test/union_0: 0.000, test/union_1: 44508.987, test/union_2: 29822.173, test/union_3: 5818.676, test/union_4: 3183.016, test/union_5: 11541.869, test/union_6: 2867.170, test/union_7: 5459.115, test/union_8: 6149.026, test/union_9: 6159.279, test/union_10: 5065.603, test/union_11: 664.878, test/union_12: 903.821, test/union_13: 3085.208, test/union_14: 3133.699, test/union_15: 1031.240, test/union_16: 655.003, test/union_17: 431.151, test/union_18: 518.670, test/union_19: 394.837, test/union_20: 6709.962, test/mIoU_part: 0.512
Epoch: 60, test/loss: 0.551, test/accu: 0.827, test/mIoU: 0.605, test/intsc_0: 0.000, test/intsc_1: 32324.622, test/intsc_2: 28285.756, test/intsc_3: 2778.381, test/intsc_4: 2417.840, test/intsc_5: 9167.205, test/intsc_6: 2199.718, test/intsc_7: 3515.788, test/intsc_8: 1559.817, test/intsc_9: 2603.128, test/intsc_10: 3005.782, test/intsc_11: 28.141, test/intsc_12: 408.429, test/intsc_13: 1416.606, test/intsc_14: 1634.365, test/intsc_15: 312.699, test/intsc_16: 368.708, test/intsc_17: 302.362, test/intsc_18: 199.843, test/intsc_19: 275.189, test/intsc_20: 1784.266, test/union_0: 0.000, test/union_1: 42904.769, test/union_2: 30036.849, test/union_3: 6207.651, test/union_4: 3264.667, test/union_5: 11524.679, test/union_6: 3248.933, test/union_7: 5528.064, test/union_8: 6153.199, test/union_9: 5879.244, test/union_10: 4163.978, test/union_11: 681.269, test/union_12: 817.571, test/union_13: 2879.926, test/union_14: 2864.936, test/union_15: 1162.163, test/union_16: 633.766, test/union_17: 386.006, test/union_18: 414.071, test/union_19: 398.990, test/union_20: 6267.378, test/mIoU_part: 0.555
Epoch: 70, test/loss: 0.622, test/accu: 0.808, test/mIoU: 0.609, test/intsc_0: 0.000, test/intsc_1: 29995.625, test/intsc_2: 28189.045, test/intsc_3: 2833.401, test/intsc_4: 1560.728, test/intsc_5: 8756.647, test/intsc_6: 2221.420, test/intsc_7: 3157.513, test/intsc_8: 3184.090, test/intsc_9: 1383.128, test/intsc_10: 3367.228, test/intsc_11: 146.151, test/intsc_12: 360.679, test/intsc_13: 1748.077, test/intsc_14: 1810.099, test/intsc_15: 435.856, test/intsc_16: 239.990, test/intsc_17: 321.317, test/intsc_18: 147.362, test/intsc_19: 254.955, test/intsc_20: 2560.577, test/union_0: 0.000, test/union_1: 40927.122, test/union_2: 29816.734, test/union_3: 6479.529, test/union_4: 3014.776, test/union_5: 10808.997, test/union_6: 3364.740, test/union_7: 5367.949, test/union_8: 8520.827, test/union_9: 4627.490, test/union_10: 4675.247, test/union_11: 959.266, test/union_12: 772.276, test/union_13: 3730.718, test/union_14: 3235.484, test/union_15: 1755.920, test/union_16: 588.494, test/union_17: 394.670, test/union_18: 389.337, test/union_19: 336.314, test/union_20: 7566.981, test/mIoU_part: 0.534
Epoch: 80, test/loss: 0.554, test/accu: 0.827, test/mIoU: 0.620, test/intsc_0: 0.000, test/intsc_1: 31516.196, test/intsc_2: 28132.426, test/intsc_3: 2836.917, test/intsc_4: 2253.237, test/intsc_5: 8953.279, test/intsc_6: 2358.571, test/intsc_7: 3541.519, test/intsc_8: 1923.814, test/intsc_9: 2709.503, test/intsc_10: 3374.311, test/intsc_11: 50.276, test/intsc_12: 426.295, test/intsc_13: 1675.548, test/intsc_14: 1802.295, test/intsc_15: 292.974, test/intsc_16: 228.904, test/intsc_17: 309.096, test/intsc_18: 160.192, test/intsc_19: 236.955, test/intsc_20: 2057.692, test/union_0: 0.000, test/union_1: 41363.067, test/union_2: 29790.862, test/union_3: 6032.090, test/union_4: 3116.462, test/union_5: 11076.622, test/union_6: 3620.160, test/union_7: 5448.731, test/union_8: 5971.603, test/union_9: 5583.532, test/union_10: 5645.897, test/union_11: 674.128, test/union_12: 818.122, test/union_13: 3632.615, test/union_14: 3788.907, test/union_15: 964.122, test/union_16: 636.699, test/union_17: 399.567, test/union_18: 352.006, test/union_19: 325.462, test/union_20: 5926.103, test/mIoU_part: 0.546
Epoch: 90, test/loss: 0.540, test/accu: 0.838, test/mIoU: 0.650, test/intsc_0: 0.000, test/intsc_1: 31157.093, test/intsc_2: 28161.365, test/intsc_3: 2957.782, test/intsc_4: 2469.766, test/intsc_5: 9028.000, test/intsc_6: 2401.311, test/intsc_7: 3191.369, test/intsc_8: 2938.862, test/intsc_9: 3301.308, test/intsc_10: 3313.603, test/intsc_11: 133.692, test/intsc_12: 494.016, test/intsc_13: 1832.878, test/intsc_14: 1292.571, test/intsc_15: 328.247, test/intsc_16: 253.769, test/intsc_17: 323.516, test/intsc_18: 208.256, test/intsc_19: 265.272, test/intsc_20: 2026.885, test/union_0: 0.000, test/union_1: 40347.054, test/union_2: 29765.330, test/union_3: 5868.817, test/union_4: 3262.881, test/union_5: 10986.042, test/union_6: 3576.202, test/union_7: 5224.718, test/union_8: 7007.631, test/union_9: 6578.391, test/union_10: 5141.330, test/union_11: 809.189, test/union_12: 881.949, test/union_13: 3980.606, test/union_14: 2235.936, test/union_15: 854.061, test/union_16: 576.173, test/union_17: 384.388, test/union_18: 374.795, test/union_19: 336.179, test/union_20: 5735.522, test/mIoU_part: 0.589
Epoch: 100, test/loss: 0.497, test/accu: 0.853, test/mIoU: 0.675, test/intsc_0: 0.000, test/intsc_1: 31692.465, test/intsc_2: 28060.753, test/intsc_3: 2728.497, test/intsc_4: 2546.381, test/intsc_5: 8821.833, test/intsc_6: 2397.840, test/intsc_7: 3877.974, test/intsc_8: 3683.026, test/intsc_9: 3156.564, test/intsc_10: 3108.324, test/intsc_11: 94.811, test/intsc_12: 564.006, test/intsc_13: 1523.548, test/intsc_14: 1554.782, test/intsc_15: 367.875, test/intsc_16: 307.035, test/intsc_17: 338.897, test/intsc_18: 239.327, test/intsc_19: 273.196, test/intsc_20: 2645.558, test/union_0: 0.000, test/union_1: 40134.173, test/union_2: 29645.391, test/union_3: 5302.705, test/union_4: 3356.942, test/union_5: 10631.455, test/union_6: 3565.615, test/union_7: 5759.644, test/union_8: 7834.965, test/union_9: 5949.699, test/union_10: 4247.157, test/union_11: 704.849, test/union_12: 1021.144, test/union_13: 2725.510, test/union_14: 2283.853, test/union_15: 926.122, test/union_16: 574.853, test/union_17: 395.170, test/union_18: 442.301, test/union_19: 347.875, test/union_20: 6174.641, test/mIoU_part: 0.619
Epoch: 110, test/loss: 0.485, test/accu: 0.854, test/mIoU: 0.669, test/intsc_0: 0.000, test/intsc_1: 32632.250, test/intsc_2: 27941.240, test/intsc_3: 3366.269, test/intsc_4: 2496.064, test/intsc_5: 9497.747, test/intsc_6: 2252.308, test/intsc_7: 3599.776, test/intsc_8: 2631.263, test/intsc_9: 2637.176, test/intsc_10: 3197.260, test/intsc_11: 101.699, test/intsc_12: 530.308, test/intsc_13: 1534.686, test/intsc_14: 1808.676, test/intsc_15: 341.266, test/intsc_16: 233.381, test/intsc_17: 338.109, test/intsc_18: 222.654, test/intsc_19: 264.333, test/intsc_20: 1924.324, test/union_0: 0.000, test/union_1: 41366.494, test/union_2: 29540.205, test/union_3: 7692.724, test/union_4: 3197.010, test/union_5: 11074.022, test/union_6: 2924.096, test/union_7: 5390.946, test/union_8: 6114.891, test/union_9: 5193.506, test/union_10: 4274.577, test/union_11: 706.750, test/union_12: 914.022, test/union_13: 2689.452, test/union_14: 2848.744, test/union_15: 961.689, test/union_16: 572.888, test/union_17: 412.577, test/union_18: 391.250, test/union_19: 333.026, test/union_20: 5857.099, test/mIoU_part: 0.607
